Year,Funding_Source,Experiment,location,ID,Trt_code,Treatment,Dry_seedheads.g.,plot.yield.g,yield.kgperha,Seedhead_in_bag.g.,bag_tare.g.,Date.Measured,Lodging,Height_1,Height_2,Height_3,Height_4,Height_5,Napplied,Ntiming,Block,stand.age,summerNrate
2020,Forever Green,IWG N,Staples,518,16,100 spring split,17.7,7.5,201.7,79.6,61.9,8/5/2020,0,95,98,81,100,92,100,Spring split,2,3,40
2020,Forever Green,IWG N,Staples,601,16,100 spring split,17,8,215.2,78.6,61.6,8/5/2020,0,86,90,95,112,111,100,Spring split,3,3,40
2020,Forever Green,IWG N,Staples,603,17,120 spring split,14.8,4.1,110.3,76.8,62,8/5/2020,0,94,114,79,97,100,120,Spring split,3,3,60
2020,Forever Green,IWG N,Staples,605,1,control,6.9,2.8,75.31,69.1,62.2,8/5/2020,0,95,97,96,110,93,0,control,3,3,0
2020,Forever Green,IWG N,Staples,606,9,140 fall split,28.5,12.9,347,90.9,62.4,8/5/2020,0,97,107,88,104,102,140,Fall split,3,3,80
2020,Forever Green,IWG N,Staples,611,7,100 fall split,32,16,430.3,93.1,61.1,8/5/2020,0,96,113,103,101,102,100,Fall split,3,3,40
2020,Forever Green,IWG N,Staples,614,8,120 fall split,25.1,8.4,225.9,86.5,61.4,8/5/2020,0,91,111,115,106,96,120,Fall split,3,3,60
2020,Forever Green,IWG N,Staples,615,6,80 fall split,22.3,9.3,250.1,84.3,62,8/5/2020,0,93,97,108,89,117,80,Fall split,3,3,20
2020,Forever Green,IWG N,Staples,616,15,80 spring split,14.9,6.2,166.8,76.9,62,8/5/2020,0,116,94,93,100,91,80,Spring split,3,3,20
2020,Forever Green,IWG N,Staples,618,18,140 spring split,17.6,7.5,201.7,79.7,62.1,8/5/2020,0,95,77,138,132,66,140,Spring split,3,3,80
