Contact,Clair Keene,clair.keene@ndsu.edu,,701-571-5409,,,,,,701-774-4315,May be Williston Extension Research Center number,,,,NDSU Williston REC,"14120 Highway 2  Williston, ND 58801"
2020,IR4,NDSU,2,210,4,,173,,,47.8,27.5,,,,,
2020,IR4,NDSU,2,211,6,,135.5,,,31.1,11.4,,,,,
2020,IR4,NDSU,3,301,9,,164.1,,,35.9,19.5,,,,,
2020,IR4,NDSU,3,302,11,,168.7,,,38.4,,,,,,
2020,IR4,NDSU,3,303,2,,295.1,,,95.3,50.6,,,,,
2020,IR4,NDSU,3,304,4,,281.6,,,84.2,43.3,,,,,
2020,IR4,NDSU,3,305,5,,293.5,,,92.2,,,,,,
2020,IR4,NDSU,3,306,10,,182.5,,,53,28.9,,,,,
2020,IR4,NDSU,3,307,7,,193,,,58.6,30.4,,,,,
2020,IR4,NDSU,3,308,1,,101.3,,,35.3,18.4,,,,,
2020,IR4,NDSU,3,309,8,,276.3,,,73.3,40.4,,,,,
2020,IR4,NDSU,3,310,3,,218.3,,,64.8,32.8,,,,,
2020,IR4,NDSU,3,311,6,,119.2,,,16.1,5.9,,,,,
2021,Nitrogen Rate,NDSU,1,101,1,1,,60.1,7.5,52.6,24.8,,,,,
2021,Nitrogen Rate,NDSU,1,101,1,2,,53,7.5,45.5,13,,,,,
2021,Nitrogen Rate,NDSU,1,102,2,1,,58.3,7.5,50.8,23.8,,,,,
2021,Nitrogen Rate,NDSU,1,102,2,2,,67.4,7.5,59.9,27.6,,,,,
2021,Nitrogen Rate,NDSU,1,103,3,1,,45.4,7.5,37.9,14.1,,,,,
2021,Nitrogen Rate,NDSU,1,103,3,2,,65.5,7.5,58,29.7,,,,,
2021,Nitrogen Rate,NDSU,1,104,4,1,,51.3,7.5,43.8,18.4,,,,,
2021,Nitrogen Rate,NDSU,1,104,4,2,,67.6,7.5,60.1,30.3,,,,,
2021,Nitrogen Rate,NDSU,2,201,2,1,,49.2,7.5,41.7,23.3,,,,,
2021,Nitrogen Rate,NDSU,2,201,2,2,,58.8,7.5,51.3,22.5,,,,,
2021,Nitrogen Rate,NDSU,2,202,4,1,,43,7.5,35.5,18.2,,,,,
2021,Nitrogen Rate,NDSU,2,202,4,2,,57.4,7.5,49.9,27,,,,,
2021,Nitrogen Rate,NDSU,2,203,1,1,,55.2,7.5,47.7,24.9,,,,,
2021,Nitrogen Rate,NDSU,2,203,1,2,,59.7,7.5,52.2,29.2,,,,,
2021,Nitrogen Rate,NDSU,2,204,3,1,,71.7,7.5,64.2,33.8,,,,,
2021,Nitrogen Rate,NDSU,2,204,3,2,,78.8,7.5,71.3,34.6,,,,,
2021,Nitrogen Rate,NDSU,3,301,2,1,,50.6,7.5,43.1,25.2,,,,,
2021,Nitrogen Rate,NDSU,3,301,2,2,,33.2,7.5,25.7,14.2,,,,,
2021,Nitrogen Rate,NDSU,3,302,3,1,,46.9,7.5,39.4,21.9,,,,,
2021,Nitrogen Rate,NDSU,3,302,3,2,,52.8,7.5,45.3,26.8,,,,,
2021,Nitrogen Rate,NDSU,3,303,4,1,,51.4,7.5,43.9,21.8,,,,,
2021,Nitrogen Rate,NDSU,3,303,4,2,,39.1,7.5,31.6,15.2,,,,,
2021,Nitrogen Rate,NDSU,3,304,1,1,,49.5,7.5,42,25,,,,,
2021,Nitrogen Rate,NDSU,3,304,1,2,,39.7,7.5,32.2,18.3,,,,,
2021,Nitrogen Rate,NDSU,4,401,3,1,,49.5,7.5,42,22.3,,,,,
2021,Nitrogen Rate,NDSU,4,401,3,2,,40.3,7.5,32.8,18.5,,,,,
2021,Nitrogen Rate,NDSU,4,402,4,1,,53.5,7.5,46,23.9,,,,,
2021,Nitrogen Rate,NDSU,4,402,4,2,,35,7.5,27.5,14.1,,,,,
2021,Nitrogen Rate,NDSU,4,403,2,1,,62.6,7.5,55.1,25.5,,,,,
2021,Nitrogen Rate,NDSU,4,403,2,2,,33.4,7.5,25.9,12.7,,,,,
2021,Nitrogen Rate,NDSU,4,404,1,1,,37.2,7.5,29.7,14.1,,,,,
2021,Nitrogen Rate,NDSU,4,404,1,2,,37.9,7.5,30.4,12.8,,,,,
