Year,Funding_Source,Experiment,location,ID,Trt_code,Treatment,Dry_seedheads(g),plot.yield.g,yield.kgperha,Seedhead_in_bag(g),bag_tare(g),Date Measured,Lodging,Height_1,Height_2,Height_3,Height_4,Height_5,Block,stand.age,Napplied,Ntiming,Ntiming_newlabel,Napplied_update
2018,Forever Green,IWG N,RSMT R-100,112,18,140 spring split,160,64.1,695.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,140,Spring split,Spring split,140
2018,Forever Green,IWG N,RSMT R-100,113,14,140 spring,247.7,95.6,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,140,Spring,Spring,140
2018,Forever Green,IWG N,RSMT R-100,114,8,120 fall split,184,64.6,701.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,120,Fall split,Split (Fall split),60
2018,Forever Green,IWG N,RSMT R-100,115,2,60 fall,137.6,47.2,512.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,60,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,116,1,control,168.5,53,575.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,control,Unfertilized,0
2018,Forever Green,IWG N,RSMT R-100,117,10,60 spring,156,53.6,581.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,60,Spring,Spring,60
2018,Forever Green,IWG N,RSMT R-100,118,13,120 spring,241.2,71.3,773.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,120,Spring,Spring,120
2018,Forever Green,IWG N,RSMT R-100,201,1,control,126.7,50.7,550.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,control,Unfertilized,0
2018,Forever Green,IWG N,RSMT R-100,202,15,80 spring split,212.5,75.3,817.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,80,Spring split,Spring split,80
2018,Forever Green,IWG N,RSMT R-100,203,6,80 fall split,97.1,39.2,425.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,80,Fall split,Split (Fall split),20
2018,Forever Green,IWG N,RSMT R-100,204,12,100 spring,182.4,54.8,594.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,100,Spring,Spring,100
2018,Forever Green,IWG N,RSMT R-100,205,11,80 spring,142.8,38,412.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,80,Spring,Spring,80
2018,Forever Green,IWG N,RSMT R-100,206,16,100 spring split,154.5,51,553.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,100,Spring split,Spring split,100
2018,Forever Green,IWG N,RSMT R-100,207,3,80 fall,130.4,55.9,606.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,80,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,208,13,120 spring,157.8,50.9,552.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,120,Spring,Spring,120
2018,Forever Green,IWG N,RSMT R-100,209,14,140 spring,110,14.9,161.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,140,Spring,Spring,140
2018,Forever Green,IWG N,RSMT R-100,210,5,120 fall,153.1,64.4,699,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,120,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,211,18,140 spring split,168.3,53.5,580.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,140,Spring split,Spring split,140
2018,Forever Green,IWG N,RSMT R-100,212,7,100 fall split,141,52.2,566.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,100,Fall split,Split (Fall split),40
2018,Forever Green,IWG N,RSMT R-100,213,4,100 fall,136.5,51,553.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,100,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,214,8,120 fall split,192,32.8,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,120,Fall split,Split (Fall split),60
2018,Forever Green,IWG N,RSMT R-100,215,9,140 fall split,126.7,40.3,437.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,140,Fall split,Split (Fall split),80
2018,Forever Green,IWG N,RSMT R-100,216,2,60 fall,99.3,43.7,474.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,60,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,217,17,120 spring split,113.3,80.7,875.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,120,Spring split,Spring split,120
2018,Forever Green,IWG N,RSMT R-100,218,10,60 spring,206,70,759.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,60,Spring,Spring,60
2018,Forever Green,IWG N,RSMT R-100,301,7,100 fall split,182,80.3,871.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,100,Fall split,Split (Fall split),40
2018,Forever Green,IWG N,RSMT R-100,302,11,80 spring,185.3,45.8,497.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,80,Spring,Spring,80
2018,Forever Green,IWG N,RSMT R-100,303,8,120 fall split,222.6,67.2,729.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,120,Fall split,Split (Fall split),60
2018,Forever Green,IWG N,RSMT R-100,304,13,120 spring,160.9,39.1,424.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,120,Spring,Spring,120
2018,Forever Green,IWG N,RSMT R-100,305,2,60 fall,174.6,59.2,642.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,60,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,306,16,100 spring split,177.6,37.4,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,100,Spring split,Spring split,100
2018,Forever Green,IWG N,RSMT R-100,307,5,120 fall,143.7,68.9,747.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,120,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,308,3,80 fall,149.9,57.9,628.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,80,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,309,17,120 spring split,134.1,22.5,244.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,120,Spring split,Spring split,120
2018,Forever Green,IWG N,RSMT R-100,310,14,140 spring,149.7,41.2,447.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,140,Spring,Spring,140
2018,Forever Green,IWG N,RSMT R-100,311,6,80 fall split,161.4,64.1,695.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,80,Fall split,Split (Fall split),20
2018,Forever Green,IWG N,RSMT R-100,312,15,80 spring split,159,62.7,680.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,80,Spring split,Spring split,80
2018,Forever Green,IWG N,RSMT R-100,313,1,control,132.9,53.2,577.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,control,Unfertilized,0
2018,Forever Green,IWG N,RSMT R-100,314,4,100 fall,180.6,72.1,782.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,100,Fall,Unfertilized (Fall),0
2018,Forever Green,IWG N,RSMT R-100,315,10,60 spring,210.7,85.1,923.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,60,Spring,Spring,60
2018,Forever Green,IWG N,RSMT R-100,316,18,140 spring split,187.8,61.7,669.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,140,Spring split,Spring split,140
2018,Forever Green,IWG N,RSMT R-100,317,9,140 fall split,193.1,75.4,818.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,140,Fall split,Split (Fall split),80
2018,Forever Green,IWG N,RSMT R-100,318,12,100 spring,178.5,61.3,665.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,100,Spring,Spring,100
2019,Forever Green,IWG N,RSMT R-100,101,4,100 fall,72,25.4,408.2,NA,NA,8/22/19,2,148,154,160,163,165,1,3,100,Fall,Fall,100
2019,Forever Green,IWG N,RSMT R-100,102,5,120 fall,27.6,11.8,189.6,NA,NA,8/22/19,4,152,169,157,153,149,1,3,120,Fall,Fall,120
2019,Forever Green,IWG N,RSMT R-100,103,6,80 fall split,23.7,8.6,138.2,NA,NA,8/22/19,1,159,139,146,158,145,1,3,80,Fall split,Fall split,80
2019,Forever Green,IWG N,RSMT R-100,104,12,100 spring,37.5,12.6,202.5,NA,NA,8/22/19,3,141,146,139,159,165,1,3,100,Spring,Spring,100
2019,Forever Green,IWG N,RSMT R-100,105,11,80 spring,40.5,10.4,167.1,NA,NA,8/22/19,0,151,137,156,172,170,1,3,80,Spring,Spring,80
2019,Forever Green,IWG N,RSMT R-100,106,17,120 spring split,36.9,16.8,270,NA,NA,8/22/19,1,150,155,144,146,160,1,3,120,Spring split,Spring split,120
2019,Forever Green,IWG N,RSMT R-100,107,15,80 spring split,32.2,1.2,19.29,NA,NA,8/22/19,9,154,160,155,123,154,1,3,80,Spring split,Spring split,80
2019,Forever Green,IWG N,RSMT R-100,108,7,100 fall split,37.9,9.6,154.3,NA,NA,8/22/19,6,157,135,156,147,153,1,3,100,Fall split,Fall split,100
2019,Forever Green,IWG N,RSMT R-100,109,16,100 spring split,21,5.2,83.57,NA,NA,8/22/19,7,145,152,153,117,139,1,3,100,Spring split,Spring split,100
2019,Forever Green,IWG N,RSMT R-100,110,3,80 fall,27.3,7.6,122.1,NA,NA,8/22/19,2,159,153,154,155,155,1,3,80,Fall,Fall,80
2019,Forever Green,IWG N,RSMT R-100,111,9,140 fall split,16,5.8,93.22,NA,NA,8/22/19,8,160,147,146,161,148,1,3,140,Fall split,Fall split,140
2019,Forever Green,IWG N,RSMT R-100,112,18,140 spring split,69.4,23.2,372.9,NA,NA,8/22/19,7,164,144,136,154,137,1,3,140,Spring split,Spring split,140
2019,Forever Green,IWG N,RSMT R-100,113,14,140 spring,23.3,1.2,19.29,NA,NA,8/22/19,10,153,157,131,143,169,1,3,140,Spring,Spring,140
2019,Forever Green,IWG N,RSMT R-100,114,8,120 fall split,11.9,1.6,25.72,NA,NA,8/22/19,9,158,146,117,159,158,1,3,120,Fall split,Fall split,120
2019,Forever Green,IWG N,RSMT R-100,115,2,60 fall,21.8,3.8,61.07,NA,NA,8/22/19,4,165,155,162,150,166,1,3,60,Fall,Fall,60
2019,Forever Green,IWG N,RSMT R-100,116,1,control,35.6,16.2,260.4,NA,NA,8/22/19,1,164,175,156,140,139,1,3,0,control,Unfertilized,0
2019,Forever Green,IWG N,RSMT R-100,117,10,60 spring,61.8,16.8,270,NA,NA,8/22/19,8,156,146,158,142,154,1,3,60,Spring,Spring,60
2019,Forever Green,IWG N,RSMT R-100,118,13,120 spring,51.5,14.2,228.2,NA,NA,8/22/19,8,148,153,135,159,150,1,3,120,Spring,Spring,120
2019,Forever Green,IWG N,RSMT R-100,201,1,control,48.7,19.8,318.2,NA,NA,8/22/19,0,163,147,161,154,148,2,3,0,control,Unfertilized,0
2019,Forever Green,IWG N,RSMT R-100,202,15,80 spring split,8.5,1.4,22.5,NA,NA,8/22/19,8,153,147,145,144,149,2,3,80,Spring split,Spring split,80
2019,Forever Green,IWG N,RSMT R-100,203,6,80 fall split,27.8,5,80.36,NA,NA,8/22/19,8,147,149,151,159,158,2,3,80,Fall split,Fall split,80
2019,Forever Green,IWG N,RSMT R-100,204,12,100 spring,23.7,2.2,35.36,NA,NA,8/22/19,10,161,154,140,144,169,2,3,100,Spring,Spring,100
2019,Forever Green,IWG N,RSMT R-100,205,11,80 spring,52,4,64.29,NA,NA,8/22/19,9,138,152,158,135,145,2,3,80,Spring,Spring,80
2019,Forever Green,IWG N,RSMT R-100,206,16,100 spring split,30.6,3,48.22,NA,NA,8/22/19,10,149,158,148,139,141,2,3,100,Spring split,Spring split,100
2019,Forever Green,IWG N,RSMT R-100,207,3,80 fall,42.8,3.4,54.64,NA,NA,8/22/19,10,156,152,156,151,146,2,3,80,Fall,Fall,80
2019,Forever Green,IWG N,RSMT R-100,208,13,120 spring,36.4,1.6,25.72,NA,NA,8/22/19,10,128,139,154,123,137,2,3,120,Spring,Spring,120
2019,Forever Green,IWG N,RSMT R-100,209,14,140 spring,22,1.8,28.93,NA,NA,8/22/19,10,146,140,139,130,149,2,3,140,Spring,Spring,140
2019,Forever Green,IWG N,RSMT R-100,210,5,120 fall,97.5,3.6,57.86,NA,NA,8/22/19,9,153,164,155,135,151,2,3,120,Fall,Fall,120
2019,Forever Green,IWG N,RSMT R-100,211,18,140 spring split,15,3,48.22,NA,NA,8/22/19,9,136,161,162,163,151,2,3,140,Spring split,Spring split,140
2019,Forever Green,IWG N,RSMT R-100,212,7,100 fall split,12.6,0.4,6.429,NA,NA,8/22/19,9,158,143,138,125,116,2,3,100,Fall split,Fall split,100
2019,Forever Green,IWG N,RSMT R-100,213,4,100 fall,24.2,1,16.07,NA,NA,8/22/19,6,171,152,159,146,141,2,3,100,Fall,Fall,100
2019,Forever Green,IWG N,RSMT R-100,214,8,120 fall split,19.8,2.2,35.36,NA,NA,8/22/19,7,145,175,149,143,160,2,3,120,Fall split,Fall split,120
2019,Forever Green,IWG N,RSMT R-100,215,9,140 fall split,35.7,3.6,57.86,NA,NA,8/22/19,10,140,131,130,137,145,2,3,140,Fall split,Fall split,140
2019,Forever Green,IWG N,RSMT R-100,216,2,60 fall,26.1,5.4,86.79,NA,NA,8/22/19,6,174,164,154,140,143,2,3,60,Fall,Fall,60
2019,Forever Green,IWG N,RSMT R-100,217,17,120 spring split,74.9,4.4,70.72,NA,NA,8/22/19,9,150,151,152,150,165,2,3,120,Spring split,Spring split,120
2019,Forever Green,IWG N,RSMT R-100,218,10,60 spring,39.5,7.8,125.4,NA,NA,8/22/19,7,167,144,167,138,163,2,3,60,Spring,Spring,60
2019,Forever Green,IWG N,RSMT R-100,301,7,100 fall split,43.3,4.4,70.72,NA,NA,8/22/19,10,143,164,162,137,175,3,3,100,Fall split,Fall split,100
2019,Forever Green,IWG N,RSMT R-100,302,11,80 spring,13.5,2.4,38.57,NA,NA,8/22/19,10,138,152,139,151,154,3,3,80,Spring,Spring,80
2019,Forever Green,IWG N,RSMT R-100,303,8,120 fall split,68.2,5.4,86.79,NA,NA,8/22/19,10,130,140,123,159,125,3,3,120,Fall split,Fall split,120
2019,Forever Green,IWG N,RSMT R-100,304,13,120 spring,27.1,3.8,61.07,NA,NA,8/22/19,10,124,126,111,142,136,3,3,120,Spring,Spring,120
2019,Forever Green,IWG N,RSMT R-100,305,2,60 fall,43,6.6,106.1,NA,NA,8/22/19,9,146,154,149,122,133,3,3,60,Fall,Fall,60
2019,Forever Green,IWG N,RSMT R-100,306,16,100 spring split,40,6,96.43,NA,NA,8/22/19,10,150,157,144,151,139,3,3,100,Spring split,Spring split,100
2019,Forever Green,IWG N,RSMT R-100,307,5,120 fall,46,4,64.29,NA,NA,8/22/19,8,159,137,158,163,156,3,3,120,Fall,Fall,120
2019,Forever Green,IWG N,RSMT R-100,308,3,80 fall,92,5.4,86.79,NA,NA,8/22/19,9,175,174,145,152,150,3,3,80,Fall,Fall,80
2019,Forever Green,IWG N,RSMT R-100,309,17,120 spring split,36.7,3.6,57.86,NA,NA,8/22/19,10,152,119,152,140,132,3,3,120,Spring split,Spring split,120
2019,Forever Green,IWG N,RSMT R-100,310,14,140 spring,54.1,12.2,196.1,NA,NA,8/22/19,10,140,143,117,123,150,3,3,140,Spring,Spring,140
2019,Forever Green,IWG N,RSMT R-100,311,6,80 fall split,14.3,1.2,19.29,NA,NA,8/22/19,9,146,174,151,160,144,3,3,80,Fall split,Fall split,80
2019,Forever Green,IWG N,RSMT R-100,312,15,80 spring split,21.2,1.6,25.72,NA,NA,8/22/19,9,145,123,162,137,101,3,3,80,Spring split,Spring split,80
2019,Forever Green,IWG N,RSMT R-100,313,1,control,40.5,17.6,282.9,NA,NA,8/22/19,0,165,156,169,154,146,3,3,0,control,Unfertilized,0
2019,Forever Green,IWG N,RSMT R-100,314,4,100 fall,19.9,4.2,67.5,NA,NA,8/22/19,9,153,147,152,153,158,3,3,100,Fall,Fall,100
2019,Forever Green,IWG N,RSMT R-100,315,10,60 spring,34.4,7,112.5,NA,NA,8/22/19,9,145,164,167,155,140,3,3,60,Spring,Spring,60
2019,Forever Green,IWG N,RSMT R-100,316,18,140 spring split,28.2,2,32.14,NA,NA,8/22/19,9,153,149,137,148,122,3,3,140,Spring split,Spring split,140
2019,Forever Green,IWG N,RSMT R-100,317,9,140 fall split,27.3,3.8,61.07,NA,NA,8/22/19,10,126,148,146,144,143,3,3,140,Fall split,Fall split,140
2019,Forever Green,IWG N,RSMT R-100,318,12,100 spring,20,4.4,70.72,NA,NA,8/22/19,10,137,138,145,145,142,3,3,100,Spring,Spring,100
